Company,Title,Price,Volume,High,Low
FS Investment,FSIC,7.25,"5,240,640",7.35,7.08
FTI Consulting,FCN,48.41,"1,404,660",48.65,46.86
FTS International,FTSI,18.39,"2,093,121",20.36,17.93
HBFuller,FUL,49.73,"2,488,320",50.90,47.75
FutureFuel,FF,11.99,"412,594",12.89,11.94
GabelliConvInc,GCV,5.80,"79,645",5.92,5.67
Gabelli Conv&Inc; Sec B,GCV.PB,25.97,"3,469",26.12,25.87
Gabelli Div&Inc; Trust A,GDV.PA,25.63,"6,004",25.75,25.55
Gabelli Div&Inc; Tr D,GDV.PD,26.20,"4,750",26.43,26.05
Gabelli Dividend&Incm;,GDV,22.10,"702,075",22.35,21.70
Gabelli Div&Incm; Pfd G,GDV.PG,25.02,"20,142",25.09,24.91
Gabelli Equity Trust,GAB,6.12,"2,894,997",6.19,6.03
Gabelli Equity Tr Pfd. J,GAB.PJ,25.25,"15,922",25.27,25.02
Gabelli Equity Pfd. D,GAB.PD,25.47,"6,704",25.53,25.41
Gabelli Equity Pfd. G,GAB.PG,24.06,"14,468",24.20,24.04
Gabelli Equity Pfd. H,GAB.PH,24.08,"19,532",24.40,24.07
Gabelli Glbl Multimedia,GGT,9.27,"327,851",9.59,9.02
Gabelli Gl Small&Mid; Cp,GGZ,11.96,"73,295",12.05,11.82
Gabelli Gl SMid Cap Pfd A,GGZ.PA,25.27,"6,872",25.28,25.00
Gabelli Pf A,GRX.PA,25.57,"1,722",25.57,25.50
Gabelli Hlthcr Pfd B,GRX.PB,25.77,"19,197",25.86,25.55
Gabelli Hlthcr&Well;,GRX,9.50,"162,758",9.53,9.32
Gabelli Multimedia Pfd. E,GGT.PE,23.98,"22,008",24.19,23.63
Gabelli Multimedia,GGT.PB,25.83,708,26.07,25.83
Gabelli Utility Tr,GUT,6.23,"1,160,131",6.49,6.01
Gabelli Utility Tr Ser A,GUT.PA,25.15,"3,003",25.25,25.09
Gabelli Utility Tr Pfd. C,GUT.PC,24.97,"14,042",25.25,24.83
Gabelli Utility Tr Rt Wi,GUT.R.W,.14,"62,567",.23,.13
Gafisa ADR,GFA,6.26,"95,945",6.26,5.53
GAIN Capital Holdings,GCAP,6.75,"2,401,767",6.83,6.39
Gallagher,AJG,68.73,"5,013,394",69.12,66.78
GAMCO Investors Cl A,GBL,24.83,"103,088",25.42,24.55
GAMCO Nat Rsc Gold&Incm;,GNT,6.37,"180,646",6.41,6.25
GAMCO Natural Pfd. A,GNT.PA,23.85,"22,357",24.24,23.70
GameStop Cl A,GME,12.62,"42,482,211",14.31,12.20
Gannett,GCI,9.98,"3,918,040",10.19,9.83
Gap Inc,GPS,31.20,"16,900,146",31.69,30.32
Gardner Denver,GDI,30.68,"2,563,048",31.27,29.93
Gartner Inc,IT,117.62,"3,196,238",120.19,115.40
GasLog,GLOG,16.45,"1,416,793",16.65,15.75
GasLog Perp. Pfd. A,GLOG.PA,26.77,"48,192",26.88,26.30
GasLog Partners,GLOP,23.30,"325,265",23.75,22.95
GasLog Ptrs Pfd. A,GLOP.PA,25.67,"181,398",25.78,25.42
Gates Industrial,GTES,17.51,"2,147,108",17.62,16.91
GATX,GATX,68.49,"1,547,709",70.87,67.38
GATX 5.625%  Nts 2066,GMTA,25.15,"33,036",25.30,25.06
Gazit-Globe,GZT,9.82,"27,743",9.90,9.41
GCP Applied Technologies,GCP,29.05,"3,611,201",29.65,28.70
GDL Fund,GDL,9.32,"236,930",9.45,9.18
GDL Fund Pfd. B,GDL.PB,50.01,"3,732",50.02,50.01
GDL Fund Pfd. C,GDL.PC,50.65,"74,361",50.80,50.50
Genco Shipping&Trading;,GNK,14.22,"660,820",15.45,13.68
Generac Holdings,GNRC,45.91,"1,938,795",46.91,44.71
Genl American Investors,GAM,33.47,"264,341",33.80,32.85
Genl Amer Inv 5.95% B,GAM.PB,25.91,"11,997",25.93,25.78
General Cable,BGC,29.60,"2,368,201",29.75,29.60
Genl Dynamics,GD,220.90,"5,934,638",225.78,216.70
General Elc Cap Nts,GEK,24.65,"181,528",24.80,24.30
General Electric,GE,13.48,"467,926,376",13.95,12.73
General Mills,GIS,45.06,"45,377,756",46.43,43.96
General Motors,GM,36.34,"57,734,620",36.52,34.50
General Motors Wt 19,GM.WS.B,18.70,"383,463",19.04,17.80
Gener8 Maritime,GNRT,5.65,"1,435,340",5.96,5.61
Genesco Inc,GCO,40.60,"1,117,936",41.25,38.10
Genesee&Wyoming;,GWR,70.79,"2,815,259",72.75,69.63
Genesis Energy,GEL,19.71,"2,147,743",19.78,18.42
Genesis Healthcare,GEN,1.51,"2,926,239",1.69,1.48
Genie Energy,GNE,4.99,"175,112",5.10,4.75
Genie Engy Pfd. 2012 A,GNE.PA,7.40,"18,841",7.46,7.31
Genpact,G,31.99,"2,165,646",32.25,31.24
Genuine Parts,GPC,89.84,"2,935,097",90.42,87.20
Genworth Financial A,GNW,2.83,"9,008,163",2.96,2.76
GEO Group,GEO,20.47,"3,923,626",21.06,19.76
GeoPark,GPRK,12.40,"908,078",12.75,11.93
Georgia Pwr 5% Nts 100177,GPJA,24.56,"133,668",24.56,23.91
Gerdau ADR,GGB,4.66,"28,255,213",4.71,4.27
Getty Realty,GTY,25.22,"591,585",25.57,23.75
GGP,GGP,20.46,"41,748,499",21.30,20.02
GGP 6.375% Pfd A,GGP.PA,24.74,"37,024",24.94,24.56
GigCapital,GIG.U,10.40,"101,600",10.40,10.35
GigCapital,GIG,9.77,"4,566",9.80,9.70
GigCapital Rt,GIG.R,.38,"103,400",.39,.37
GigCapital Wt,GIG.WS,.49,"91,700",.51,.40
Gildan Activewear,GIL,28.89,"2,064,767",29.18,28.10
Glatfelter,GLT,20.53,"797,209",20.85,20.07
Glaukos,GKOS,30.83,"2,623,417",31.77,29.31
GlaxoSmithKline ADR,GSK,39.07,"19,553,002",39.82,36.84
Global Brass&Copper;,BRSS,33.45,"489,694",34.40,32.30
Global Cord Blood,CO,10.20,"1,372,013",10.96,10.10
Global Medical REIT,GMRE,6.95,"645,900",7.20,6.34
Gl Medical REIT 7.5% Pf A,GMRE.PA,24.61,"24,027",24.61,24.25
Global Net Lease,GNL,16.88,"2,763,910",17.07,16.22
Gl Net Lease Pfd. A,GNL.PA,24.91,"53,748",25.08,24.81
Global Partners,GLP,15.35,"266,771",16.00,15.20
Global Payments,GPN,111.52,"3,649,785",115.15,108.84
Global Ship Lease Cl A,GSL,1.10,"584,504",1.12,.98
Gl Ship Lease Perp Pfd B,GSL.PB,24.32,"14,860",24.60,24.00
Glbl X China Consumer,CHIQ,18.71,"457,523",19.05,18.13
Glbl X China Energy,CHIE,11.85,"1,891",11.96,11.61
Glbl X China Finls,CHIX,18.51,"86,106",18.75,18.17
Glbl X China Industrials,CHII,14.59,"6,016",14.88,14.47
Glbl X China Materials,CHIM,21.00,"2,556",21.32,20.68
Global X Copper Miners,COPX,25.98,"211,461",26.70,25.18
Glbl X Fertilizers/Potash,SOIL,9.97,"25,076",10.17,9.93
Glbl X FTSE Nordic Region,GXF,22.58,"5,625",22.61,22.28
Gl X FTSE Southeast Asia,ASEA,17.69,"34,621",17.99,17.43
Global X Gold Explorers,GOEX,21.54,"44,691",22.37,21.06
Global X Guru Index ETF,GURU,29.85,"16,869",30.18,29.38
Gl X JPMorgan Efficiente,EFFE,26.25,"3,560",26.29,25.85
GlX JPM US Sector Rotator,SCTO,26.10,590,26.11,26.10
Gl X Lithium&Battery;,LIT,32.98,"1,814,917",33.97,32.30
Gl X MLP&Engy; Infr,MLPX,11.77,"974,229",11.84,11.49
Global X MLP ETF,MLPA,8.49,"3,407,446",8.54,8.14
Gl X MSCI Argentina,ARGT,35.68,"281,859",35.91,34.93
Gl X MSCI Colombia,GXG,10.48,"227,075",10.50,10.16
Global X MSCI Greece ETF,GREK,9.70,"2,322,898",9.94,9.58
Global X MSCI Nigeria ETF,NGE,23.73,"59,846",23.98,22.02
Global X MSCI Norway ETF,NORW,13.76,"90,433",13.92,13.56
Gl X MSCI Pakistan,PAK,13.09,"45,738",13.09,12.85
Gl X MSCI Portugal,PGAL,12.26,"528,943",12.44,12.16
Gl X SuperDiv EM,SDEM,17.13,"22,597",17.24,16.75
Gl X Next Emerging,EMFM,24.50,"12,384",24.58,24.01
Gl X Sci Beta Asia xJpn,SCIX,25.75,320,25.75,25.69
Global X Sci Beta Europe,SCID,27.84,"1,814",27.97,27.49
Global X Sci Beta Japan,SCIJ,31.29,"3,976",31.29,30.34
Gl X Scientific Beta US,SCIU,30.89,"16,421",31.04,30.42
Global X Silver Miners,SIL,30.72,"269,088",31.13,30.08
Global X SuperDividend,SDIV,20.71,"895,118",20.77,20.40
Gl X SuperDividend US,DIV,24.03,"275,547",24.09,23.58
Gl X SuperIncome Pfd,SPFF,11.89,"186,357",11.96,11.86
Global X Uranium ETF,URA,12.07,"1,502,951",12.36,11.81
Globant,GLOB,51.54,"1,172,486",52.98,49.77
Globus Medical,GMED,49.82,"2,412,841",50.94,49.08
GMAC Capital Tr Ser2,ALLY.PA,25.98,"597,658",26.05,25.90
GMS,GMS,30.56,"1,303,472",31.38,30.23
GNC Holdings A,GNC,3.86,"7,100,165",4.07,3.78
GoDaddy Cl A,GDDY,61.42,"7,174,952",63.22,58.12
Goldcorp,GG,13.82,"22,195,737",14.07,13.42
Gold Field ADR,GFI,4.02,"17,904,303",4.29,3.98
Goldman Sachs Acc Hi Yd,GHYB,48.62,"6,910",48.62,48.42
GS Access Inv Grade Cp Bd,GIGB,48.76,"19,782",48.76,48.35
Goldman Sachs Active EM,GEM,36.61,"343,055",36.85,35.77
GS ActiveBeta Europe,GSEU,31.52,"20,562",31.55,30.95
GS ActiveBeta Intl Equity,GSIE,29.84,"297,441",29.92,29.24
GS ActiveBeta Japan,GSJY,33.86,"3,156",33.88,33.08
Goldman Sachs ActBt US LC,GSLC,53.41,"775,814",53.95,52.42
GS ActiveBeta US SC,GSSC,43.21,"8,815",43.46,42.67
Goldman Sachs BDC,GSBD,19.13,"648,425",19.77,18.91
Goldman Sachs,GS,251.86,"12,458,229",257.06,244.37
Goldman Sachs Grp Pfd K,GS.PK,28.53,"133,259",28.53,28.15
Goldman Sachs Dep. Pfd. N,GS.PN,26.82,"139,285",26.82,26.58
Goldman Sachs Pfd. J,GS.PJ,26.63,"225,539",26.73,26.53
Goldman Sachs Pfd. B,GS.PB,25.64,"69,174",25.87,25.55
Goldman Sachs Pfd. C,GS.PC,23.67,"62,906",23.90,23.26
Goldman Sachs Pfd. D,GS.PD,22.87,"268,332",23.08,22.60
Goldman Sachs Pfd. A,GS.PA,22.94,"140,432",23.05,22.65
GS Hedge Ind VIP,GVIP,53.57,"42,546",54.87,52.37
Goldman Sachs MLP Energy,GER,5.74,"1,550,796",5.84,5.50
Goldman Sachs MLP Inc Opp,GMZ,7.77,"870,857",8.00,7.59
Goldman Sachs Trea  0-1Y,GBIL,100.08,"571,572",105.09,100.02
GOL Linhas Aereas ADR,GOL,12.99,"1,297,607",13.27,12.19
Gorman-Rupp,GRC,29.25,"190,102",29.96,28.36
GP Strategies,GPX,22.65,"441,427",22.80,20.70
WR Grace,GRA,61.23,"2,331,238",61.86,60.50
Graco Inc,GGG,45.72,"2,555,505",46.12,44.20
Graham Corp,GHM,21.42,"88,818",21.90,20.69
Graham Holdings,GHC,602.25,"129,103",606.35,584.65
WW Grainger,GWW,282.27,"3,185,266",285.00,271.41
Gramercy Property Trust,GPT,21.73,"5,290,961",22.08,21.20
Gramercy Prop 7.125 Pfd A,GPT.PA,25.65,"7,118",26.30,25.30
Grana y Montero ADR,GRAM,3.04,"519,999",3.13,2.45
Granite Construction,GVA,55.86,"1,927,294",56.40,52.13
Granite Point Mtg Trust,GPMT,16.54,"1,365,378",17.43,16.50
Granite REIT,GRP.U,39.50,"5,192",39.58,38.76
GraniteSh Bloom Comm,COMB,26.04,"40,967",26.09,25.78
GraniteSh Gold Trust,BAR,132.29,"9,839",135.36,132.11
GraniteSh HIPS US Hi Incm,HIPS,16.13,"8,078",16.19,15.99
GraniteSh Platinum Shares,PLTM,93.15,624,95.52,93.15
GraniteShs S&P; GSCI Comm,COMG,28.29,"7,208",28.32,28.15
Graphic Packaging,GPK,15.35,"9,134,962",15.43,14.88
Gray Television,GTN,12.70,"5,781,615",13.15,12.28
Great Ajax,AJX,13.55,"234,723",13.64,13.04
Great Ajax 7.25% Nts 2024,AJXA,25.25,"11,722",25.74,24.97
Great Plains Energy,GXP,31.79,"9,047,441",31.86,29.96
Great Western Bancorp,GWB,40.27,"1,600,865",40.76,38.82
Greenbrier Cos,GBX,50.25,"1,620,701",52.15,49.50
Green Dot Cl A,GDOT,64.16,"1,639,453",69.17,62.20
Greenhill,GHL,18.50,"2,074,819",18.70,17.65
Greentree Hospitality ADR,GHG,12.75,"5,503,341",14.70,12.28
Greif A,GEF,52.25,"861,959",52.64,49.80
Greif B,GEF.B,58.25,"36,248",59.10,56.90
Griffon,GFF,18.25,"689,937",19.60,17.90
Group 1 Automotive,GPI,65.34,"802,528",65.68,62.25
GrubHub,GRUB,101.47,"8,521,374",109.16,97.81
Gpo Aeroportuario Pac ADR,PAC,99.64,"255,179",100.80,97.29
Gpo Aeroport Sureste ADR,ASR,170.57,"128,052",172.47,165.93
Grupo Aval Acciones ADR,AVAL,8.31,"242,447",8.52,8.19
Grupo Supervielle ADR,SUPV,30.34,"1,394,840",31.08,30.09
Grupo Televisa ADR,TV,15.96,"12,118,776",16.03,15.01
GS Con SP GSCI Enhncd Com,GSC,24.70,365,24.70,24.68
GTT Communications,GTT,56.70,"2,531,641",62.32,53.15
Guangshen Railway ADR,GSH,29.62,"5,021",29.98,29.49
Guess,GES,20.74,"10,539,290",22.15,20.40
Guggenheim BRIC,EEB,38.62,"39,788",38.95,37.56
Guggenheim BulletShr 2018,BSCI,21.13,"751,851",21.14,21.10
Guggenheim BS 2018 HY,BSJI,25.12,"1,259,863",25.18,25.04
Guggenheim BulletShr 2019,BSCJ,20.98,"1,213,720",21.02,20.95
Guggenheim BS 2019 HY,BSJJ,24.32,"517,482",24.32,24.16
Guggenheim BulletShs 2020,BSCK,21.06,"634,546",21.06,20.99
Guggenheim BS 2020 HY,BSJK,24.34,"602,459",24.50,23.97
Guggenheim Bulletshs 2021,BSCL,20.82,"1,005,572",20.82,20.72
Guggenheim BS 2021 HY,BSJL,24.64,"622,518",24.73,24.12
Guggenheim BulletShs 2022,BSCM,20.77,"398,000",20.78,20.64
Guggenheim BS 2022 HY,BSJM,24.51,"305,742",24.58,24.42
Guggenheim BulletShs 2023,BSCN,20.39,"245,023",20.40,20.24
Guggenheim BulletShs 2024,BSCO,20.27,"165,519",20.27,20.14
Guggenheim BulletShs 2025,BSCP,20.03,"41,745",20.07,19.88
Guggenheim BS 2025 HY,BSJP,24.14,"23,436",24.17,24.01
Guggenheim BS 2024 HY,BSJO,24.94,"52,780",25.08,24.75
Guggenheim BulletShs 2027,BSCR,19.33,"31,403",19.34,19.12
Guggenheim BulletShs 2026,BSCQ,19.01,"23,550",19.04,18.82
Guggenheim BS 2023 HY,BSJN,25.95,"146,150",25.97,25.80
Guggenheim Cdn Engy Incm,ENY,7.46,"16,265",7.47,7.31
Guggenheim China All-Cap,YAO,36.16,"6,148",36.66,35.41
Guggenheim China Real Est,TAO,30.22,"50,392",30.31,29.58
Guggenheim China Sm Cp,HAO,31.02,"85,187",31.02,30.16
Guggenheim China Tech,CQQQ,59.82,"644,361",62.79,58.63
Guggenheim Credit All Fd,GGM,21.44,"92,360",22.56,21.18
Gugg Def Eqty,DEF,46.37,"27,190",46.57,45.58
Guggenheim DJIA Dividend,DJD,32.98,"6,347",33.08,32.19
Guggenheim Enh Fd,GPM,8.34,"850,492",8.47,8.19
Guggenheim Frontier Mkts,FRN,16.35,"205,485",16.44,16.03
Guggenheim S&P; 500 EW Con,RCD,98.40,"11,095",98.47,96.59
Guggenheim S&P; 500 EqWtCn,RHS,126.62,"102,354",126.88,123.03
Guggenheim S&P; 500 Enrgy,RYE,54.41,"50,842",55.27,53.05
Guggenheim S&P; 500 EW,RSP,99.48,"4,087,244",100.16,97.79
Guggenheim S&P; 500 Fncls,RYF,43.87,"361,912",44.21,42.85
Guggenheim S&P; 500Hlthcr,RYH,179.69,"46,546",180.20,175.50
Guggenheim S&P; 500 Equal,RGI,119.38,"139,043",119.88,116.72
Guggenheim S&P; 500 EqWt,RTM,106.25,"166,721",106.86,103.76
Guggenheim S&P500; EW Tech,RYT,151.31,"370,065",155.94,148.26
Guggenheim S&P; 500Util,RYU,82.57,"29,820",82.70,80.18
Guggenheim S&P; 500 Growth,RPG,109.78,"650,344",112.40,107.30
Guggenheim S&P; 500,RPV,64.61,"366,625",64.82,63.27
Guggenheim S&P; Midcap 400,RFG,158.13,"24,209",159.70,154.06
Guggenheim S&P; Midcap 400,RFV,65.95,"78,027",66.03,64.55
Guggenheim S&P; Scap 600,RZG,115.12,"24,111",116.33,112.84
Guggenheim S&P; Smlcp 600,RZV,70.26,"54,279",70.82,69.25
Guggenheim Insider,NFO,63.38,"5,457",63.60,62.55
Guggenheim Intl Mlty Ast,HGI,16.96,"1,061",16.96,16.79
Guggenheim MC Core ETF,CZA,64.95,"40,011",65.02,63.65
Guggenheim MSCI EM Equ,EWEM,35.22,"3,116",35.53,34.94
Guggenheim MSCI Gl Timber,CUT,32.72,"112,555",32.83,32.21
Gug Multi Ast Inco,CVY,21.48,"95,078",21.54,21.10
Guggenheim Raymnd  SB-1,RYJ,43.27,"64,722",43.54,42.56
Guggenheim S&P500; Real Es,EWRE,25.86,"29,279",26.11,24.99
Guggenheim S&P; 500 Top 50,XLG,186.76,"130,356",189.20,182.90
Guggenheim S&P; Glbl,LVL,10.94,"71,784",10.95,10.73
Gugg S&P; GlbWtr,CGW,34.08,"267,202",34.20,33.40
Guggenheim S&P; Hi Incm,GHII,25.38,"52,123",25.57,25.10
Guggenheim S&P; MC 400 EW,EWMC,63.02,"31,224",63.02,61.79
Guggenheim S&P; 100 EW,OEW,31.94,"3,107",31.94,31.41
Guggenheim S&P; SC 600 EW,EWSC,54.04,"1,942",54.36,53.68
Guggenheim S&P; Spin-Off,CSD,53.35,"28,133",53.43,52.17
Guggenheim Shipping ETF,SEA,10.51,"290,925",10.63,10.38
Guggenheim Solar ETF,TAN,24.56,"739,908",25.72,24.22
Guggenheim Strat Opps Fd,GOF,20.30,"545,554",20.36,20.05
Guggenheim Taxable Muni,GBAB,21.50,"131,498",21.69,21.19
Guggenheim TR Bd,GTO,52.32,"43,993",52.49,52.06
Guggenheim Ultra Shrt Dur,GSY,50.23,"1,782,339",50.24,50.19
Guggenheim US LC Opt Vol,OVLC,29.50,590,29.52,29.02
Guidewire Software,GWRE,80.83,"2,381,313",84.06,78.03
Haemonetics,HAE,73.16,"1,593,518",74.42,71.73
Halcon Resources,HK,4.87,"13,801,182",4.96,4.66
Halcon Resources Wt,HK.WS,.52,"1,116",.56,.52
Halliburton,HAL,46.94,"38,874,346",48.08,45.75
Halyard Health,HYH,46.08,"2,250,532",47.40,45.42
Hamilton Beach Brands,HBB,21.22,"142,238",23.04,21.02
John Hancock Income Secs,JHS,14.14,"71,295",14.48,13.97
John Hancock Investors,JHI,16.62,"86,765",16.79,16.57
John Hancock Pfd Income,HPI,20.48,"152,050",20.50,20.11
John Hancock Pfd II,HPF,20.05,"157,306",20.05,19.62
John Hancock Pfd Inc III,HPS,17.63,"211,877",17.63,17.31
HnckJohn TxAdv,HTD,21.69,"379,067",21.75,21.19
John Hancock Glbl Shrhldr,HTY,8.91,"74,875",9.06,8.50
Hanesbrands,HBI,18.42,"21,107,507",19.17,18.30
Hannon Armstrong,HASI,19.50,"1,817,994",19.76,18.61
Hanover Insurance Grp,THG,117.89,"1,367,729",118.92,112.78
Hanover Ins Deb 2053,THGA,25.09,"18,194",25.12,25.06
Harley-Davidson,HOG,42.88,"7,741,223",43.99,41.35
Harmony Gold Mining ADR,HMY,2.39,"24,024,359",2.53,2.30
Harris Corp,HRS,161.28,"4,813,034",164.58,158.71
Harsco,HSC,20.65,"2,215,712",21.85,20.15
Harte-Hanks,HHS,9.16,"22,073",9.46,8.92
Hartford Financial,HIG,51.52,"9,244,558",52.15,50.43
Hartford Fin Svs Deb 2042,HGH,29.35,"308,728",29.86,29.21
Hartford Finl Svs Grp Wt,HIG.WS,46.19,285,46.19,46.19
Hartford Mult Dev xUS,RODM,29.22,"336,604",29.60,28.81
Hartford Multifactor EM,ROAM,26.14,"22,016",26.31,25.59
Hartford Multi Global SC,ROGS,31.77,"12,666",31.77,31.18
Hartford Multifactor REIT,RORE,13.85,"13,360",13.93,13.39
Hartford Multi US Equity,ROUS,31.13,"27,860",31.35,30.59
Hartford Mun Opps ETF,HMOP,39.64,200,39.64,39.64
Hartford TR Bd,HTRB,39.30,804,39.30,39.07
Haverty Furniture,HVT,20.15,"618,699",20.50,18.75
Haverty Furniture A,HVT.A,20.30,607,20.30,19.35
Hawaiian Electric Inds,HE,34.38,"1,045,892",34.62,33.31
HCA Healthcare,HCA,97.00,"9,484,919",99.99,95.80
HCI Group,HCI,38.16,"360,454",39.48,37.83
HCP,HCP,23.23,"18,080,557",23.63,22.00
HC2 Holdings,HCHC,5.26,"721,109",5.38,4.97
HDFC Bank ADR,HDB,98.77,"3,485,217",99.43,96.59
Healthcare Realty Trust,HR,27.71,"4,405,184",27.90,26.41
Health Care Sel Sector,XLV,81.40,"37,092,130",81.99,79.64
Healthcare Tr of America,HTA,26.45,"5,237,031",26.57,25.06
Hecla Mining,HL,3.67,"15,908,545",3.72,3.53
HECO Cp Tr III 6.5% QUIPS,HE.PU,26.00,201,26.00,26.00
Heico Corp,HEI,86.81,"2,443,166",91.34,85.74
Heico Cl A,HEI.A,70.95,"664,022",74.50,69.60
Helix Energy Solutions,HLX,5.79,"7,951,418",6.19,5.68
Helmerich&Payne;,HP,66.56,"4,418,797",68.26,64.41
Herbalife,HLF,97.47,"4,266,354",99.88,96.05
Herc Holdings,HRI,64.95,"745,519",67.68,62.73
Hercules Capital,HTGC,12.10,"1,558,814",12.24,11.94
Hercules Capital Nts 2024,HTGX,25.28,"54,585",25.36,25.24
Heritage Insurance,HRTG,15.16,"789,823",16.23,15.15
Hersha Hospitality Pfd D,HT.PD,23.29,"31,484",23.60,23.00
Hersha Hospitality Pfd E,HT.PE,23.24,"35,418",23.43,22.77
Hersha Hospitality Pfd C,HT.PC,24.40,"22,254",24.78,24.09
Hersha Hospitality Cl A,HT,17.90,"1,832,361",18.16,17.13
Hershey,HSY,98.96,"4,030,946",99.52,96.30
Hertz Global Holdings,HTZ,19.85,"5,636,924",20.64,19.34
Hess Corp,HES,50.62,"13,139,492",51.01,48.34
Hess Dep. Pfd. Series A,HES.PA,59.56,"353,228",60.19,57.75
Hess Midstream Partners,HESM,19.04,"319,432",19.48,18.51
Hewlett Packard Ent,HPE,17.54,"51,755,183",18.16,17.41
Hexcel Corp,HXL,64.59,"1,784,339",66.35,63.61
HFF A,HF,49.70,"1,126,794",50.06,47.43
Hi-Crush Partners,HCLP,10.60,"9,688,912",11.90,10.32
Highland FR Opps Fd,HFRO,15.99,"811,326",16.16,15.89
High Point Resources,HPR,5.08,"6,709,581",5.45,4.71
Highwoods Properties,HIW,43.82,"2,574,717",43.86,41.51
Hillenbrand,HI,45.90,"1,123,828",46.33,44.63
Hill International,HIL,5.70,"323,220",5.85,5.58
Hill Rom Holdings,HRC,87.00,"1,651,278",87.72,83.85
Hilltop Holdings,HTH,23.46,"1,287,752",24.10,22.99
Hilton Grand Vacations,HGV,43.02,"6,125,631",44.01,42.48
Hilton,HLT,78.76,"7,473,026",80.55,77.79
HNI Cp,HNI,36.09,"599,391",36.30,34.72
Hoegh LNG Partners,HMLP,16.20,"673,525",16.40,15.32
Hoegh LNG 8.75% Pfd A,HMLP.PA,25.98,"44,764",26.00,25.48
Holly Energy Partners,HEP,27.57,"692,836",27.95,26.09
HollyFrontier,HFC,48.86,"6,700,531",50.50,47.35
Home Depot,HD,178.24,"20,604,717",178.73,173.51
Honda Motor ADR,HMC,34.73,"4,183,943",34.91,33.06
Honeywell Intl,HON,144.51,"12,830,002",148.15,142.49
Horace Mann Educators,HMN,42.75,"718,610",43.00,41.65
Horizon Global,HZN,8.24,"765,574",8.66,8.22
Horizons S&P; 500 Cov Call,HSPX,48.17,"27,251",48.82,47.71
Horizon Tech Nts 091522,HTFA,25.75,"6,140",25.75,25.47
Hormel Foods,HRL,34.32,"10,507,704",34.41,32.75
Hornbeck Offshore,HOS,2.91,"736,979",3.19,2.84
DR Horton,DHI,43.84,"15,038,113",44.92,43.01
Host Hotels&Resorts;,HST,18.64,"22,858,176",18.84,18.09
Houlihan Lokey Cl A,HLI,44.60,"991,325",45.27,43.22
Hovnanian Enterprises A,HOV,1.83,"6,642,976",1.97,1.81
Howard Hughes,HHC,139.13,"982,835",139.62,134.70
HP,HPQ,21.92,"46,410,183",22.44,21.43
HRG Group,HRG,16.49,"11,345,350",16.62,14.30
HSBC Holdings ADR Pfd,HSBC.PA,25.75,"271,562",25.78,25.61
HSBC Holdings 8.125% Secs,HSEA,26.31,"523,289",26.90,26.23
HSBC Holdings ADR,HSBC,47.67,"9,354,592",48.39,47.23
HSBC Holdings Pfd. 2,HSEB,26.14,"722,502",26.25,26.10
Huami ADR,HMI,10.63,"3,636,346",11.25,10.10
Huaneng Power ADR,HNP,26.85,"527,228",26.97,26.23
Hubbell,HUBB,121.78,"1,661,531",122.48,118.48
HubSpot,HUBS,108.30,"3,245,187",117.70,105.00
Hudbay Minerals,HBM,7.10,"2,966,519",7.30,6.65
Hudbay Minerals Wt,HBM.WS,.07,"48,692",.11,.05
Hudson Cl A,HUD,15.91,"1,233,328",16.13,15.03
Hudson Pacific Prop,HPP,32.53,"3,054,666",32.71,31.53
Hugoton Royalty Trust Un,HGT,.70,"401,645",.70,.63
Hull Tactical US ETF,HTUS,25.94,"137,770",26.36,25.59
Humana Inc,HUM,268.83,"3,759,985",271.67,262.64
Huntington Ingalls Inds,HII,257.76,"1,876,065",264.53,251.29
Huntsman,HUN,29.25,"10,259,411",29.98,28.56
Hyatt Hotels,H,76.26,"3,987,155",78.88,75.75
Hyster-Yale Materials,HY,69.93,"257,730",72.99,69.23
IamGold,IAG,5.19,"16,444,417",5.38,5.14
ICICI Bank ADR,IBN,8.85,"35,088,116",8.88,8.54
IDACORP,IDA,88.27,"1,127,460",88.60,84.45
IDEX Corp,IEX,142.51,"1,354,583",146.28,139.40
IDT Corp B,IDT,6.27,"2,497,567",9.20,5.94
Illinois Tool Works,ITW,156.66,"6,079,647",160.63,153.07
Imax,IMAX,19.20,"3,240,486",20.50,19.02
Independence Contract,ICD,3.78,"383,549",4.31,3.65
Independence Holding,IHC,35.65,"31,663",36.36,34.05
Independence Realty Trust,IRT,9.18,"2,630,903",9.23,8.76
India Fund,IFN,24.63,"393,149",24.82,24.30
Industrial Select Sector,XLI,74.29,"62,744,373",75.25,72.64
Industrias Bachoco ADR,IBA,61.95,"19,469",63.80,59.87
Infosys ADR,INFY,17.85,"18,149,937",18.02,17.50
InfraCap MLP ETF,AMZA,6.84,"5,921,756",6.90,6.55
InfraCap REIT Preferred,PFFR,24.22,"5,714",24.24,24.10
InfraREIT,HIFR,19.43,"645,548",19.80,19.12
Ingersoll-Rand,IR,85.51,"5,186,375",86.81,83.60
Ingevity,NGVT,73.69,"724,059",75.92,71.98
ING Gp 6.125% Prp. Dbt Sc,ISG,25.59,"82,559",25.99,25.52
ING Grp 6.375% Perp Hyb,ISF,25.83,"161,381",25.83,25.58
ING Groep ADR,ING,16.93,"12,506,758",17.05,16.58
Ingredion,INGR,128.92,"1,609,187",129.98,126.53
